title,content,page,source,source_file
"QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương I NHỮNG QUY ĐỊNH CHUNG - Điều 1. Căn cứ pháp lý, phạm vi điều chỉnh và đối tượng áp dụng - Mục 1. Căn cứ pháp lý (Phần 1)","a) Luật Giáo dục đại học số 08/2012/QH13 ngày 18/6/2012 của Quốc hội; Luật số 34/2018/QH14 ngày 19/11/2018 của Quốc hội sửa đổi, bổ sung một số điều của Luật Giáo dục đại học. b) Quy chế công tác sinh viên đối với chương trình đào tạo đại học hệ chính quy ban hành kèm theo Thông tư số 10/2016/TT-BGDĐT ngày 05/04/2016 của Bộ trưởng Bộ Giáo dục và Đào tạo. c) Quy chế tuyển sinh và đào tạo trình độ thạc sĩ ban hành kèm theo Thông tư số 23/2021/TT- BGDĐT ngày 30/08/2021 của Bộ trưởng Bộ Giáo dục và",1,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_0.csv
"QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương I NHỮNG QUY ĐỊNH CHUNG - Điều 1. Căn cứ pháp lý, phạm vi điều chỉnh và đối tượng áp dụng - Mục 1. Căn cứ pháp lý (Phần 2)",theo Thông tư số 23/2021/TT- BGDĐT ngày 30/08/2021 của Bộ trưởng Bộ Giáo dục và Đào tạo. d) Quy chế đào tạo từ xa trình độ đại học ban hành kèm theo Thông tư số 10/2017/TT- BGDĐT ngày 28/04/2017 của Bộ Giáo dục và Đào tạo.,1,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_1.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương II NHIỆM VỤ VÀ QUYỀN LỢI CỦA NGƯỜI HỌC - Điều 4. Nhiệm vụ của người học (Phần 2),"quá trình học tập và trải nghiệm. 5. Giữ gìn và bảo vệ tài sản của Trường. 6. Thực hiện đầy đủ quy định về khám sức khỏe đầu khóa và khám sức khỏe định kỳ hằng năm theo quy định của Trường. 7. Đóng học phí, lệ phí, bảo hiểm y tế đầy đủ, đúng thời hạn theo quy định. 8. Tham gia hoạt động tình nguyện, phục vụ cộng đồng phù hợp với năng lực và sức khỏe; phòng chống tệ nạn xã hội. 9. Tham gia phòng, chống tiêu cực, gian lận trong học tập, thi cử và các hoạt động khác; kịp thời báo cáo khi phát hiện",2,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_10.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương II NHIỆM VỤ VÀ QUYỀN LỢI CỦA NGƯỜI HỌC - Điều 4. Nhiệm vụ của người học (Phần 3),"lận trong học tập, thi cử và các hoạt động khác; kịp thời báo cáo khi phát hiện vi phạm. 10. Tôn trọng, giữ gìn và bảo vệ uy tín, hình ảnh và các giá trị của Trường. 11. Góp phần xây dựng, bảo vệ và phát huy truyền thống của Trường. 12. Thực hiện các nhiệm vụ khác theo quy định của pháp luật và của Trường.",2,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_11.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương II NHIỆM VỤ VÀ QUYỀN LỢI CỦA NGƯỜI HỌC - Điều 5. Văn hóa ứng xử của người học (Phần 1),"1. Ứng xử đối với nhân sự của Trường a) Lịch sự, nhã nhặn, tôn trọng. b) Tích cực hợp tác trong các hoạt động giáo dục, đào tạo và trải nghiệm. c) Dũng cảm đấu tranh, lên án các hành vi vi phạm đạo đức. d) Không ghi âm, ghi hình, chụp ảnh trong giờ học khi chưa được sự đồng ý của giảng viên. đ) Nghiêm cấm sử dụng mạng xã hội để đăng tải, bình luận xuyên tạc, thiếu tính xây dựng về Trường hoặc nhân sự của Trường. 2. Ứng xử đối với người học khác a) Đoàn kết, giúp đỡ nhau. b) Tôn trọng sự khác",2,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_12.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương II NHIỆM VỤ VÀ QUYỀN LỢI CỦA NGƯỜI HỌC - Điều 5. Văn hóa ứng xử của người học (Phần 2),"Ứng xử đối với người học khác a) Đoàn kết, giúp đỡ nhau. b) Tôn trọng sự khác biệt. c) Không gây tổn thương đến tinh thần, sức khỏe, danh dự và nhân phẩm của người khác. 3. Ứng xử đối với khách đến làm việc tại Trường a) Hòa nhã, thân thiện, lịch thiệp. b) Chủ động hỗ trợ, hướng dẫn trong từng hoàn cảnh cụ thể.",2,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_13.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương III TRÁCH NHIỆM CỦA TRƯỜNG ĐẠI HỌC HOA SEN - Điều 8. Trách nhiệm của Hiệu trưởng hoặc Phó Hiệu trưởng phụ trách chuyên môn (Phần 1),"1. Hiệu trưởng hoặc Phó Hiệu trưởng phụ trách chuyên môn chịu trách nhiệm cao nhất đối với công tác trải nghiệm của người học trong toàn Trường, chỉ đạo, bố trí các nguồn lực nhằm bảo đảm thực hiện tốt các nội dung của công tác trải nghiệm của người học. 2. Xây dựng kế hoạch và tổ chức thực hiện các chủ trương của Nhà nước, các quy định của Bộ Giáo dục và Đào tạo, của ngành và địa phương trong công tác trải nghiệm cửa người học, tạo điều kiện cho người học thực hiện đầy đủ các quyền và trách",2,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_14.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương III TRÁCH NHIỆM CỦA TRƯỜNG ĐẠI HỌC HOA SEN - Điều 8. Trách nhiệm của Hiệu trưởng hoặc Phó Hiệu trưởng phụ trách chuyên môn (Phần 2),"cửa người học, tạo điều kiện cho người học thực hiện đầy đủ các quyền và trách nhiệm của người học. 3. Chỉ đạo tổ chức “Tuần sinh hoạt công dân sinh viên” vào đầu mỗi năm học, định kỳ tổ chức đối thoại với người học để cung cấp thông tin cần thiết cho người học, nắm bắt tâm tư, nguyện vọng và giải quyết kịp thời những thắc mắc, nhu cầu chính đáng của người học. 4. Đảm bảo các điều kiện để phát huy hiệu quả vai trò của tổ chức đoàn thế trong công tác trải nghiệm của người học; chú trọng công tác",2,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_15.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương III TRÁCH NHIỆM CỦA TRƯỜNG ĐẠI HỌC HOA SEN - Điều 8. Trách nhiệm của Hiệu trưởng hoặc Phó Hiệu trưởng phụ trách chuyên môn (Phần 3),"tổ chức đoàn thế trong công tác trải nghiệm của người học; chú trọng công tác giáo dục tư tưởng, đạo đức, lối sống cho người học. 5. Thúc đẩy việc thành lập, nâng cao hiệu quả hoạt động của các Câu lạc bộ. 6. Quyết định sự tham gia của người học mang tính chất đại diện cho Trường khi có sự huy động của địa phương, các cấp, các ngành hoặc các tổ chức khác.",2,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_16.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương III TRÁCH NHIỆM CỦA TRƯỜNG ĐẠI HỌC HOA SEN - Điều 9. Trách nhiệm của Trung tâm Truyền thông và Trải nghiệm - Việc làm sinh viên (Phần 1),"1. Xây dựng chính sách học bổng, chính sách khen thưởng và kỷ luật sinh viên đảm bảo theo quy định; thực hiện các chế độ, chính sách đối với sinh viên. Phối họp với các đơn vị có liên quan trong việc xét chọn các học bổng, tài trợ cho sinh viên. 2. Tổ chức các hoạt động trải nghiệm cấp Trường cho sinh viên: các hoạt động vãn hóa, nghệ thuật, thể dục thể thao cấp Trường; hướng dẫn sinh viên tìm kiếm thông tin của Trường; cung cấp thông tin về học vụ cho sinh viên; quản lý nhân sự phụ trách công",3,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_17.csv
